energy-kcal_100g,energy_100g,fat_100g,carbohydrates_100g,proteins_100g
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
24.0,100.0,0.0,3.53,2.35
286.0,1197.0,23.21,0.0,17.86
42.0,176.0,1.04,5.0,3.33
98.2143,411.0,0.8929,0.0,19.6429
278.02,1485.4,8.346,24.078,10.43399994277954
533.0,2230.0,36.67,43.33,16.67
197.0,824.0,2.72,38.1,4.08
342.0,1431.0,3.95,65.79,10.53
260.0,1088.0,4.0,48.0,10.0
167.0,699.0,8.1,18.1,5.71
126.0,525.0,6.0,10.0,5.0
232.0,971.0,2.68,41.1,8.93
333.0,1393.0,0.0,66.67,0.0
286.0,1197.0,3.57,57.14,7.14
400.0,1674.0,12.0,72.0,4.0
203.0,848.0,11.0,19.4,6.61
403.0190476190476,1535.8,28.36476190476194,27.817142857142848,2.838
1.0,4.0,0.0,0.3,0.0
248.0,1038.0,8.85,30.97,11.5
0.0,0.0,0.0,0.0,0.0
266.0,1113.0,20.0,0.5,21.0
464.0,1941.0,25.0,57.14,3.57
250.0,1046.0,0.0,60.0,0.0
541.7280012207032,2296.2,27.68000000953674,31.393999816894546,21.5161403508772
26.8,112.0,0.0,0.902,0.282
464.28571428571,1943.0,12.5,64.285714285714,7.1428571428571
71.0,297.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
99.9,418.0,1.47,0.0,20.6
104.0,435.0,4.19999980926514,14.0,2.09999990463257
403.0190476190476,1535.8,28.36476190476194,27.817142857142848,2.838
2.0,8.0,0.0,0.21,0.0
278.02,1485.4,8.346,24.078,10.43399994277954
333.33,1395.0,7.69,56.41,7.69
100.0,418.0,0.88,18.82,4.12
90.0,377.0,1.5,17.0,3.0
179.0,749.0,7.55,26.42,1.89
132.0,552.0,1.76,21.59,7.49
111.0,464.0,1.39999997615814,21.0,3.59999990463257
354.0,1480.0,21.2,33.6,5.31
467.0,1954.0,16.67,73.33,3.33
135.29411764706,566.0,4.4117647058824,17.352941176471,6.7647058823529
61.4,1083.6,1.8,19.0,2.8940000023841863
340.82397003745,1426.0,3.7453183520599,22.47191011236,63.670411985019
454.54545454545,1902.0,21.212121212121,57.575757575758,9.0909090909091
187.96992481203,786.0,9.02255639097744,20.3007518796992,3.7593984962406
134.0,561.0,5.36,0.0,21.4
278.02,1485.4,8.346,24.078,10.43399994277954
3.6563071297989,15.0,0.0,0.91407678244973,0.0
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
645.0,2699.0,64.232,32.6,3.432
80.0,335.0,2.406,22.0,0.8039999999999999
428.57142857143,1793.0,17.142857142857,71.428571428571,0.0
264.0,1105.0,8.57,46.07,1.79
20.0,84.0,0.0,0.0,0.0
448.2759,1876.0,13.7931,75.8621,6.8966
333.33333333333,1395.0,6.6666666666667,53.333333333333,20.0
363.63636363636,1521.0,6.0606060606061,60.606060606061,21.212121212121
300.0,1255.0,0.0,80.0,0.0
240.0,1004.0,5.0,10.59,24.0
466.66666666667,1953.0,26.666666666667,63.333333333333,6.6666666666667
64.935064935065,272.0,1.2987012987013,10.38961038961,1.2987012987013
0.0,0.0,0.0,0.0,0.0
83.0,347.0,6.69999980926514,0.400000005960464,5.5
645.0,2699.0,64.232,32.6,3.432
263.1579,1101.0,1605.2632,10.526316,15.789474
165.0,689.0,2.94,31.8,1.18
61.4,1083.6,1.8,19.0,2.8940000023841863
61.4,1083.6,1.8,19.0,2.8940000023841863
343.0,1435.0,1.43,74.29,8.57
233.33333333333,976.0,20.0,13.333333333333,0.0
357.0,1494.0,0.89,73.21,12.5
61.4,1083.6,1.8,19.0,2.8940000023841863
101.5625,425.0,0.78125,21.875,1.5625
65.0,272.0,2.02,9.68,1.61
90.0,377.0,4.5,13.0,2.0
208.6,1137.4,16.3197647058824,41.178,3.3484705882353
271.0,1134.0,10.0,38.57,7.14
533.33333333333,2231.0,30.0,66.666666666667,0.0
